CASEID,v728,v729,v730,v731,v732,v733,v734,v735,v736,v737,v738,v739,v740,v872,v873,v874,v875,v876,v877,v878,v879,v880,v881,v882,v883,v884,v885,v886,v887,v888,v889,v890,v891,v892,v893,v894,v895,v896,v897,v898,v899,v900,v901,v902,v903,v904
  67,1,5,0,2,4,1,1,1,5,1,5,2,5,1,3,3,4,1,1,0,2,0,1,1,0, 6," ",0,0,0,0,1,0,0,0,0,0," "," "," ",0,0,0,1,5,270
  68,1,1,0,1,3,1,1,1,5,5,0,3,0,5,0,2,7,2,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
  69,5,0,0,3,4,1,1,1,1,8,0,8,0,1,5,1,2,2,1,0,1,2,1,7,0,10," ",0,0,0,0,0,0,0,2,0,0," "," "," ",0,0,0,5,5, 20
  70,1,1,0,1,4,5,0,3,0,1,1,1,5,1,1,3,4,2,1,0,2,0,1,1,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,1,230
  71,1,5,0,2,3,1,1,1,1,5,0,3,0,1,3,1,4,1,5,1,0,0,5,0,1, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,1,135
  72,5,0,0,3,2,5,0,3,0,1,5,2,5,1,3,5,5,1,5,1,0,0,5,0,7, 1," ",3,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,120
  73,1,5,0,2,3,8,0,8,0,8,0,8,0,1,1,2,5,2,1,0,1,1,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
  74,1,1,0,1,2,1,5,2,3,3,5,4,3,1,3,4,4,2,5,1,0,0,5,0,1, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,1,5,230
  75,5,0,0,3,4,1,1,1,1,5,0,3,0,1,5,1,4,2,1,0,1,1,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
  76,1,5,0,2,5,1,1,1,3,1,1,1,3,1,5,1,3,2,1,0,3,0,1,1,0,17," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,150
  77,1,1,0,1,3,1,1,1,5,5,0,3,0,1,3,1,5,9,1,0,1,1,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
  78,5,0,0,3,5,5,0,3,0,5,0,3,0,5,0,3,4,3,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,400
  79,5,0,0,3,3,1,5,2,3,5,0,3,0,1,3,4,4,2,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
  80,5,0,0,3,4,1,1,1,1,5,0,3,0,5,0,5,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
  81,1,1,0,1,3,1,5,2,5,1,1,1,1,1,5,2,5,1,1,0,2,0,1,7,0,15," ",0,0,0,0,0,0,0,0,0,1," "," "," ",0,0,0,1,1,181
  82,1,1,0,1,5,1,1,1,5,1,1,1,5,1,5,1,7,1,1,0,1,2,1,1,0, 1," ",4,2,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,148
  83,1,1,0,1,4,8,0,8,0,1,5,2,3,1,3,3,4,2,1,0,3,0,1,7,0,22," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5, 20
  84,5,0,0,3,2,8,0,8,0,8,0,8,0,9,0,9,9,9,9,0,0,0,9,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,995
  85,1,1,0,1,3,1,5,2,5,1,5,2,3,1,5,1,1,1,1,0,1,2,1,1,0, 6," ",0,0,0,0,1,0,0,0,0,0," "," "," ",0,0,0,1,1,270
  86,1,1,0,1,5,1,1,1,3,5,0,3,0,1,5,1,2,2,1,0,1,2,1,7,0,19," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,255
  87,1,5,0,2,3,1,5,2,5,1,5,2,5,1,5,3,3,1,1,0,1,2,1,1,0,90," ",0,0,0,0,0,0,0,0,0,0," "," "," ",1,0,0,1,1,166
  88,1,1,0,1,4,5,0,3,0,1,1,1,1,1,5,2,3,2,1,0,3,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
  89,3,0,5,4,5,1,1,1,1,5,0,3,0,1,5,1,2,1,1,0,1,2,1,1,0, 6," ",0,0,0,0,7,0,0,0,0,0," "," "," ",0,0,0,5,1,279
  90,5,0,0,3,2,5,0,3,0,1,5,2,3,1,5,1,3,2,1,0,3,0,1,1,0, 4," ",0,0,0,1,0,0,0,0,0,0," "," "," ",0,0,0,5,1,230
  91,5,0,0,3,3,8,0,8,0,8,0,8,0,5,0,5,5,1,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
  92,5,0,0,3,5,1,1,1,1,5,0,3,0,5,0,5,5,8,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
  93,1,5,0,2,3,1,5,2,5,5,0,3,0,1,3,4,4,2,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
  94,5,0,0,3,3,1,1,1,3,5,0,3,0,1,5,2,4,2,1,0,2,0,1,1,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,135
  95,1,1,0,1,4,1,1,1,1,3,1,5,3,1,1,4,5,2,1,0,4,0,1,1,0, 1," ",8,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,149
  96,1,1,0,1,4,8,0,8,0,8,0,8,0,1,5,2,4,2,1,0,1,2,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
  97,5,0,0,3,4,1,1,1,1,5,0,3,0,1,5,1,3,2,1,0,2,0,1,1,0, 6," ",0,0,0,0,7,0,0,0,0,0," "," "," ",0,0,0,1,1,272
  98,1,1,0,1,4,5,0,3,0,5,0,3,0,5,0,5,5,2,5,1,0,0,5,0,2, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
  99,1,1,0,1,4,8,0,8,0,8,0,8,0,1,1,4,5,2,1,0,2,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,400
 100,5,0,0,3,4,8,0,8,0,8,0,8,0,1,5,3,2,1,1,0,1,2,1,1,0,15," ",0,0,0,0,0,0,0,0,0,2," "," "," ",0,0,0,1,1,251
 101,1,5,0,2,3,1,5,2,5,5,0,3,0,1,5,2,4,1,1,0,1,2,1,1,0,12," ",0,0,0,0,0,0,0,0,1,0," "," "," ",0,0,0,1,1,292
 102,1,1,0,1,5,5,0,3,0,5,0,3,0,5,0,2,5,3,5,5,0,0,5,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,  0
 103,1,1,0,1,5,1,5,2,5,3,5,4,3,1,5,1,3,1,1,0,2,0,1,7,0,15," ",0,0,0,0,0,0,0,0,0,3," "," "," ",0,0,0,1,1,257
 104,1,1,0,1,4,5,0,3,0,5,0,3,0,1,3,9,9,9,9,0,0,0,9,0,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,0,0,995
 105,1,1,0,1,4,5,0,3,0,5,0,3,0,1,5,1,3,1,1,0,1,2,1,1,0, 1," ",1,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,1,1,135
 106,5,0,0,3,4,1,1,1,3,5,0,3,0,1,5,4,4,1,1,0,2,0,1,1,0, 3," ",0,0,1,0,0,0,0,0,0,0," "," "," ",0,0,0,1,5,220
 107,1,1,0,1,4,1,1,1,3,5,0,3,0,1,1,5,5,8,1,0,4,0,1,2,0, 0," ",0,0,0,0,0,0,0,0,0,0," "," "," ",0,0,0,5,5,400
